8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,8,8,8,8,8,8,8,8,8
8,8,8,15,15,15,15,15,15,15,15,15,8,8,19,20,19,19,19,19,19,19,19,20,55,55,55,55,55,55,55,55,8
8,8,14,15,14,14,14,14,14,14,14,15,8,8,19,20,8,8,8,8,54,55,19,20,54,54,54,54,54,54,54,55,8
8,8,14,15,8,8,8,8,8,8,14,15,8,8,19,20,8,8,8,8,54,55,19,20,8,8,8,8,8,8,54,55,8
8,26,26,26,26,26,26,26,26,26,14,15,26,26,26,26,26,26,26,26,26,26,19,20,26,26,26,26,8,8,54,55,8
25,26,25,25,25,25,25,25,25,25,14,15,25,25,25,25,25,25,25,25,25,25,19,20,25,25,25,26,8,8,54,55,8
25,26,14,15,8,8,8,8,8,8,14,15,8,8,19,20,8,8,8,8,54,55,19,20,8,8,25,26,8,8,54,55,8
25,26,14,15,8,8,8,44,44,44,44,44,44,44,19,20,44,44,44,44,54,55,19,20,55,55,55,55,55,55,55,55,8
25,26,14,15,8,8,43,44,43,43,43,43,43,43,19,20,43,43,43,44,54,54,19,20,54,54,25,26,54,54,54,8,8
25,26,14,15,8,8,43,44,8,8,14,15,8,8,19,20,8,8,43,44,8,8,19,20,8,8,25,26,8,8,8,8,8
25,26,14,15,8,8,43,44,8,8,14,15,8,8,19,20,20,20,43,44,20,20,20,20,8,8,25,26,8,8,8,8,8
25,26,14,15,15,15,15,15,15,15,15,15,8,8,19,19,19,19,43,44,19,19,19,8,8,8,25,26,8,8,8,8,8
25,26,14,14,14,14,14,14,14,14,14,8,8,8,8,8,8,8,43,44,8,8,8,8,8,8,25,26,8,8,8,8,8
25,26,8,8,8,8,43,44,8,8,8,8,8,8,8,8,8,8,43,44,8,8,8,8,8,8,25,26,8,8,8,8,8
25,26,26,26,26,26,43,44,26,26,26,26,26,26,26,26,26,26,43,44,26,26,26,26,26,26,26,26,8,8,8,8,8
25,25,25,25,25,25,43,44,44,44,44,44,44,44,44,44,44,44,44,44,25,25,25,25,25,25,25,8,8,8,8,8,8
8,8,8,8,8,8,43,43,43,43,43,43,43,43,43,43,43,43,43,8,8,8,8,8,8,8,8,8,8,8,8,8,8
--
