0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,17,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,17,61
61,61,0,0,21,21,0,0,0,0,0,0,0,21,21,0,0,61,61
60,61,56,0,20,21,0,0,0,0,0,0,0,21,20,0,56,61,60
60,60,56,0,20,20,0,0,0,0,0,0,0,20,20,0,56,60,60
59,60,55,0,20,19,0,0,0,39,0,0,0,19,20,0,55,60,59
59,59,54,0,19,19,0,0,39,38,39,0,0,19,19,0,54,59,59
58,59,53,0,18,19,0,0,37,38,37,0,0,19,18,0,53,59,58
58,58,52,52,18,18,0,0,42,37,42,0,0,18,18,52,52,58,58
57,58,58,52,53,53,54,54,55,17,55,54,54,53,53,52,58,58,57
57,57,58,58,59,59,60,60,15,55,15,60,60,59,59,58,58,57,57
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
--
